timestamp,county,covid_hospitalizations,covid_hospitalizations_update_9_29_remove_minus
2020-07-14T123224,ESCAMBIA,167,NA
2020-07-14T123224,FLAGLER,20,NA
2020-07-14T123224,FRANKLIN,0,NA
2020-07-14T123224,GADSDEN,0,NA
2020-07-14T123224,GULF,2,NA
2020-07-14T123224,HARDEE,0,NA
2020-07-14T123224,HENDRY,3,NA
2020-07-14T123224,HERNANDO,58,NA
2020-07-14T123224,HIGHLANDS,51,NA
2020-07-14T123224,HILLSBOROUGH,293,NA
2020-07-14T123224,HOLMES,0,NA
2020-07-14T123224,INDIAN RIVER,35,NA
2020-07-14T123224,JACKSON,36,NA
2020-07-14T123224,LAKE,133,NA
2020-07-14T123224,LEE,274,NA
2020-07-14T123224,LEON,65,NA
2020-07-14T123224,MADISON,0,NA
2020-07-14T123224,MANATEE,95,NA
2020-07-14T123224,MARION,86,NA
2020-07-14T123224,MARTIN,43,NA
2020-07-14T123224,MIAMI-DADE,"1,839",NA
2020-07-14T123224,MONROE,19,NA
2020-07-14T123224,NASSAU,4,NA
2020-07-14T123224,OKALOOSA,38,NA
2020-07-14T123224,OKEECHOBEE,17,NA
2020-07-14T123224,ORANGE,568,NA
2020-07-14T123224,OSCEOLA,193,NA
2020-07-14T123224,PALM BEACH,652,NA
2020-07-14T123224,PASCO,104,NA
2020-07-14T123224,PINELLAS,237,NA
2020-07-14T123224,POLK,148,NA
2020-07-14T123224,PUTNAM,15,NA
2020-07-14T123224,SANTA ROSA,18,NA
2020-07-14T123224,SARASOTA,141,NA
2020-07-14T123224,SEMINOLE,191,NA
2020-07-14T123224,ST. JOHNS,35,NA
2020-07-14T123224,ST. LUCIE,135,NA
2020-07-14T123224,SUMTER,25,NA
2020-07-14T123224,SUWANNEE,0,NA
2020-07-14T123224,TAYLOR,0,NA
2020-07-14T123224,UNION,0,NA
2020-07-14T123224,VOLUSIA,144,NA
2020-07-14T123224,WALTON,6,NA
2020-07-14T123224,WASHINGTON,5,NA
2020-07-14T123224,All,"8,253",NA
2020-07-14T190213,ALACHUA,115,NA
2020-07-14T190213,BAKER,34,NA
2020-07-14T190213,BAY,63,NA
2020-07-14T190213,BREVARD,126,NA
2020-07-14T190213,BROWARD,"1,228",NA
2020-07-14T190213,CALHOUN,1,NA
2020-07-14T190213,CHARLOTTE,41,NA
2020-07-14T190213,CITRUS,20,NA
2020-07-14T190213,CLAY,61,NA
2020-07-14T190213,COLLIER,193,NA
2020-07-14T190213,COLUMBIA,20,NA
2020-07-14T190213,DESOTO,2,NA
2020-07-14T190213,DUVAL,535,NA
2020-07-14T190213,ESCAMBIA,167,NA
2020-07-14T190213,FLAGLER,20,NA
2020-07-14T190213,FRANKLIN,0,NA
2020-07-14T190213,GADSDEN,0,NA
2020-07-14T190213,GULF,2,NA
2020-07-14T190213,HARDEE,0,NA
2020-07-14T190213,HENDRY,3,NA
2020-07-14T190213,HERNANDO,58,NA
2020-07-14T190213,HIGHLANDS,51,NA
2020-07-14T190213,HILLSBOROUGH,293,NA
2020-07-14T190213,HOLMES,0,NA
2020-07-14T190213,INDIAN RIVER,35,NA
2020-07-14T190213,JACKSON,36,NA
2020-07-14T190213,LAKE,133,NA
2020-07-14T190213,LEE,274,NA
2020-07-14T190213,LEON,65,NA
2020-07-14T190213,MADISON,0,NA
2020-07-14T190213,MANATEE,95,NA
2020-07-14T190213,MARION,86,NA
2020-07-14T190213,MARTIN,43,NA
2020-07-14T190213,MIAMI-DADE,"1,858",NA
2020-07-14T190213,MONROE,19,NA
2020-07-14T190213,NASSAU,4,NA
2020-07-14T190213,OKALOOSA,38,NA
2020-07-14T190213,OKEECHOBEE,17,NA
2020-07-14T190213,ORANGE,568,NA
2020-07-14T190213,OSCEOLA,193,NA
2020-07-14T190213,PALM BEACH,652,NA
2020-07-14T190213,PASCO,104,NA
2020-07-14T190213,PINELLAS,237,NA
2020-07-14T190213,POLK,148,NA
2020-07-14T190213,PUTNAM,15,NA
2020-07-14T190213,SANTA ROSA,18,NA
2020-07-14T190213,SARASOTA,141,NA
2020-07-14T190213,SEMINOLE,191,NA
2020-07-14T190213,ST. JOHNS,35,NA
2020-07-14T190213,ST. LUCIE,135,NA
